RecordID,LotRoadFrontageSF,LotAreaSF,OverallQuality,OverallCondition,Age,BasementFinishedSF,BasementUnfinishedSF,TotalBasementSF,CentralAir,FirstFloorSF,SecondFloorSF,LowQualityFinishedSF,TotalLivingAreaSF,FullBath,HalfBath,BedroomAbvGround,KitchenAbvGround,TotalRoomsAbvGround,Fireplaces,GarageType,GarageCars,GarageSF,WoodDeckSF,TotalPorchSF,SalePrice
1,141,31770,6,5,50,639,441,1080,Y,1656,0,0,1656,1,0,3,1,7,2,Attached,2,528,210,62,215000
2,80,11622,5,6,49,612,270,882,Y,896,0,0,896,1,0,2,1,5,0,Attached,1,730,140,120,105000
3,81,14267,6,6,52,923,406,1329,Y,1329,0,0,1329,1,1,3,1,6,0,Attached,1,312,393,36,172000
4,93,11160,7,5,42,1065,1045,2110,Y,2110,0,0,2110,2,1,3,1,8,2,Attached,2,522,0,0,244000
5,74,13830,5,5,13,791,137,928,Y,928,701,0,1629,2,1,3,1,6,1,Attached,2,482,212,34,189900
6,78,9978,6,6,12,602,324,926,Y,926,678,0,1604,2,1,3,1,7,1,Attached,2,470,360,36,195500
7,41,4920,8,5,9,616,722,1338,Y,1338,0,0,1338,2,0,2,1,6,0,Attached,2,582,0,170,213500
8,43,5005,8,5,18,263,1017,1280,Y,1280,0,0,1280,2,0,2,1,5,0,Attached,2,506,0,226,191500
9,39,5389,8,5,15,1180,415,1595,Y,1616,0,0,1616,2,0,2,1,5,1,Attached,2,608,237,152,236500
10,60,7500,7,5,11,0,994,994,Y,1028,776,0,1804,2,1,3,1,7,1,Attached,2,442,140,60,189000
11,75,10000,6,5,17,0,763,763,Y,763,892,0,1655,2,1,3,1,7,1,Attached,2,440,157,84,175900
12,0,7980,6,7,18,935,233,1168,Y,1187,0,0,1187,2,0,3,1,6,0,Attached,2,420,483,21,185000
13,63,8402,6,5,12,0,789,789,Y,789,676,0,1465,2,1,3,1,7,1,Attached,2,393,0,75,180400
14,85,10176,7,5,20,637,663,1300,Y,1341,0,0,1341,1,1,2,1,5,1,Attached,2,506,192,0,171500
15,0,6820,8,5,25,1488,0,1488,Y,1502,0,0,1502,1,1,1,1,4,0,Attached,2,528,0,194,212000
16,47,53504,8,5,7,1416,234,1650,Y,1690,1589,0,3279,3,1,4,1,12,1,Attached,3,841,503,246,538000
17,152,12134,8,7,22,427,132,559,Y,1080,672,0,1752,2,0,4,1,8,0,Attached,2,492,325,12,164000
18,88,11394,9,2,0,1445,411,1856,Y,1856,0,0,1856,1,1,1,1,8,1,Attached,3,834,113,0,394432
19,140,19138,4,5,59,120,744,864,Y,864,0,0,864,1,0,2,1,4,0,Detached,2,400,0,0,141000
20,85,13175,6,6,32,953,589,1542,Y,2073,0,0,2073,2,0,3,1,7,2,Attached,2,500,349,0,210000
21,105,11751,6,6,33,705,1139,1844,Y,1844,0,0,1844,2,0,3,1,7,1,Attached,2,546,0,122,190000
22,85,10625,7,6,36,1053,0,1053,Y,1173,0,0,1173,2,0,3,1,6,2,Attached,2,528,0,120,170000
